Year,Observed,ARIMA_Forecast,Continent,Prophet_Forecast
1980,,,Asia,0.07566129752471373
1980,,,Europe,0.16068218169426346
1980,,,Europe,0.16575161796981835
1980,,,North America,0.09742469904058157
1980,,,North America,0.10503769629976048
1980,,,Oceania,0.05826682571055044
1980,,,Oceania,0.06264484528341786
1980,,,South America,0.07798477920040772
1980,,,South America,0.08491762580952396
1981,0.1377966374268986,0.17808379446056985,Africa,
1981,,,Africa,0.07724843005759126
1981,0.3254416666666666,0.0853673551042864,Antarctica,
1981,,,Antarctica,0.07481690307236497
1981,0.2726888888888901,0.015072655970597953,Asia,
1981,,,Asia,0.08294535401921882
1981,0.0292615079365079,-0.04746340180870584,Europe,
1981,,,Europe,0.17082105424537317
1981,0.2994542635658916,0.16066023040568306,North America,
1981,,,North America,0.11265069355893924
1981,0.2642612847222239,0.1606609858562906,Oceania,
1981,,,Oceania,0.0670228648562853
1981,0.1639051587301594,0.2845718253968243,South America,
1981,,,South America,0.09185047241864013
1982,0.1023609649122789,0.15094277179627777,Africa,
1982,,,Africa,0.07670914988445644
1982,0.2743166666666663,0.0853673551042864,Antarctica,
1982,,,Antarctica,0.08988398477408202
1982,-0.1842245098039221,0.11324263445685998,Asia,
1982,,,Asia,0.09022941051372405
1982,0.409608446712018,-0.04746340180870584,Europe,
1982,,,Europe,0.17589049052092812
1982,0.1019678294573616,0.03941203098113276,North America,
1982,,,North America,0.1202636908181182
1982,0.0723706597222246,0.1606609858562906,Oceania,
1982,,,Oceania,0.07140088442915273
1982,0.3056373015873035,0.2845718253968243,South America,
1982,,,South America,0.09878331902775644
1983,0.4992790935672531,0.15094277179627777,Africa,
1983,,,Africa,0.07616986971132164
1983,0.1470249999999999,0.0853673551042864,Antarctica,
1983,,,Antarctica,0.10495106647579894
1983,0.059100653594772,0.03345748229975917,Asia,
1983,,,Asia,0.09751346700822913
1983,0.5005404195011343,-0.04746340180870584,Europe,
1983,,,Europe,0.18095992679648287
1983,0.366462015503874,0.06316291860984105,North America,
1983,,,North America,0.1278766880772969
1983,0.2961102430555549,0.1606609858562906,Oceania,
1983,,,Oceania,0.07577890400202014
1983,0.4632087301587297,0.2845718253968243,South America,
1983,,,South America,0.10571616563687262
1984,0.190020321637423,0.15094277179627777,Africa,
1984,,,Africa,0.07562911205826042
1984,0.0409416666666664,0.0853673551042864,Antarctica,
1984,,,Antarctica,0.12005942785341117
1984,-0.2096183006535952,0.09830083464522743,Asia,
1984,,,Asia,0.10481747982189736
1984,0.132878854875285,-0.04746340180870584,Europe,
1984,,,Europe,0.1860432519385462
1984,-0.0441155038759681,0.05851043992703343,North America,
1984,,,North America,0.1355105428632133
1984,0.2892300347222232,0.1606609858562906,Oceania,
1984,,,Oceania,0.08016891814905985
1984,-0.1000234126984125,0.2845718253968243,South America,
1984,,,South America,0.11266800634628785
1985,0.1532630116959055,0.15094277179627777,Africa,
1985,,,Africa,0.07508983188512562
1985,0.1786916666666662,0.0853673551042864,Antarctica,
1985,,,Antarctica,0.1351265095551281
1985,0.1234552287581713,0.04560104991436215,Asia,
1985,,,Asia,0.11210153631640243
1985,-0.4784272675736956,-0.04746340180870584,Europe,
1985,,,Europe,0.19111268821410096
1985,-0.0558151162790707,0.059421797777416074,North America,
1985,,,North America,0.14312354012239212
1985,0.2515321180555538,0.1606609858562906,Oceania,
1985,,,Oceania,0.08454693772192722
1985,0.1590242063492049,0.2845718253968243,South America,
1985,,,South America,0.11960085295540401
1986,0.1340393274853788,0.15094277179627777,Africa,
1986,,,Africa,0.07455055171199082
1986,0.2878583333333331,0.0853673551042864,Antarctica,
1986,,,Antarctica,0.15019359125684514
1986,0.0688571895424843,0.08843145904995087,Asia,
1986,,,Asia,0.11938559281090767
1986,-0.0720174036281173,-0.04746340180870584,Europe,
1986,,,Europe,0.1961821244896559
1986,0.0746674418604662,0.059243275061229686,North America,
1986,,,North America,0.15073653738157108
1986,0.2230060763888879,0.1606609858562906,Oceania,
1986,,,Oceania,0.08892495729479463
1986,0.2224527777777787,0.2845718253968243,South America,
1986,,,South America,0.12653369956452026
1987,0.7494720760233875,0.15094277179627777,Africa,
1987,,,Africa,0.07401127153885599
1987,0.027483333333333,0.0853673551042864,Antarctica,
1987,,,Antarctica,0.1652606729585622
1987,0.3439519607843131,0.05362213381095191,Asia,
1987,,,Asia,0.12666964930541288
1987,-0.3649952947845811,-0.04746340180870584,Europe,
1987,,,Europe,0.2012515607652108
1987,0.5363534883720931,0.059278245254531015,North America,
1987,,,North America,0.1583495346407499
1987,0.2664539930555598,0.1606609858562906,Oceania,
1987,,,Oceania,0.09330297686766213
1987,0.596411111111113,0.2845718253968243,South America,
1987,,,South America,0.13346654617363657
1988,0.4130349415204648,0.15094277179627777,Africa,
1988,,,Africa,0.0734705138857948
1988,0.0706083333333331,0.0853673551042864,Antarctica,
1988,,,Antarctica,0.1803690343361743
1988,0.3415973856209149,0.08191252720314557,Asia,
1988,,,Asia,0.133973662119081
1988,0.4514689909297056,-0.04746340180870584,Europe,
1988,,,Europe,0.206334885907274
1988,0.2826616279069753,0.05927139506512288,North America,
1988,,,North America,0.16598338942666618
1988,0.5681623263888902,0.1606609858562906,Oceania,
1988,,,Oceania,0.09769299101470177
1988,0.1610361111111125,0.2845718253968243,South America,
1988,,,South America,0.14041838688305167
1989,0.1183448830409332,0.15094277179627777,Africa,
1989,,,Africa,0.07293123371265998
1989,0.7594416666666668,0.0853673551042864,Antarctica,
1989,,,Antarctica,0.19543611603789135
1989,0.1900745098039209,0.05892022980036802,Asia,
1989,,,Asia,0.14125771861358621
1989,0.9850948412698406,-0.04746340180870584,Europe,
1989,,,Europe,0.2114043221828289
1989,-0.0036949612403098,0.059272736924875356,North America,
1989,,,North America,0.17359638668584515
1989,0.2474539930555579,0.1606609858562906,Oceania,
1989,,,Oceania,0.10207101058756919
1989,0.1554587301587311,0.2845718253968243,South America,
1989,,,South America,0.14735123349216797
1990,0.4841431286549671,0.15094277179627777,Africa,
1990,,,Africa,0.07239195353952518
1990,0.5236916666666664,0.0853673551042864,Antarctica,
1990,,,Antarctica,0.21050319773960827
1990,0.4615663398692824,0.07760663449361783,Asia,
1990,,,Asia,0.1485417751080913
1990,1.1844536848072569,-0.04746340180870584,Europe,
1990,,,Europe,0.2164737584583837
